disease,symptom_list,precaution,doctor_type
Gastroenteritis,"dehydration, diarrhoea, sunken_eyes, vomiting","stop eating solid food for while, try taking small sips of water, rest, ease back into eating",General Physician
Gastroenteritis,"dehydration, diarrhoea, sunken_eyes, vomiting","stop eating solid food for while, try taking small sips of water, rest, ease back into eating",General Physician
Gastroenteritis,"dehydration, diarrhoea, sunken_eyes","stop eating solid food for while, try taking small sips of water, rest, ease back into eating",General Physician
Gastroenteritis,"dehydration, diarrhoea, vomiting","stop eating solid food for while, try taking small sips of water, rest, ease back into eating",General Physician
Gastroenteritis,"diarrhoea, sunken_eyes, vomiting","stop eating solid food for while, try taking small sips of water, rest, ease back into eating",General Physician
Gastroenteritis,"dehydration, sunken_eyes, vomiting","stop eating solid food for while, try taking small sips of water, rest, ease back into eating",General Physician
Gastroenteritis,"dehydration, diarrhoea, sunken_eyes, vomiting","stop eating solid food for while, try taking small sips of water, rest, ease back into eating",General Physician
Gastroenteritis,"dehydration, diarrhoea, sunken_eyes","stop eating solid food for while, try taking small sips of water, rest, ease back into eating",General Physician
Gastroenteritis,"dehydration, diarrhoea, vomiting","stop eating solid food for while, try taking small sips of water, rest, ease back into eating",General Physician
Gastroenteritis,"diarrhoea, sunken_eyes, vomiting","stop eating solid food for while, try taking small sips of water, rest, ease back into eating",General Physician
Bronchial Asthma,"breathlessness, cough, family_history, fatigue, high_fever, mucoid_sputum","switch to loose cloothing, take deep breaths, get away from trigger, seek help",General Physician
Bronchial Asthma,"breathlessness, cough, family_history, high_fever, mucoid_sputum","switch to loose cloothing, take deep breaths, get away from trigger, seek help",General Physician
Bronchial Asthma,"breathlessness, family_history, fatigue, high_fever, mucoid_sputum","switch to loose cloothing, take deep breaths, get away from trigger, seek help",General Physician
Bronchial Asthma,"breathlessness, cough, family_history, fatigue, mucoid_sputum","switch to loose cloothing, take deep breaths, get away from trigger, seek help",General Physician
Bronchial Asthma,"cough, family_history, fatigue, high_fever, mucoid_sputum","switch to loose cloothing, take deep breaths, get away from trigger, seek help",General Physician
Bronchial Asthma,"breathlessness, cough, fatigue, high_fever, mucoid_sputum","switch to loose cloothing, take deep breaths, get away from trigger, seek help",General Physician
Bronchial Asthma,"breathlessness, cough, family_history, fatigue, high_fever","switch to loose cloothing, take deep breaths, get away from trigger, seek help",General Physician
Bronchial Asthma,"breathlessness, cough, family_history, fatigue, high_fever, mucoid_sputum","switch to loose cloothing, take deep breaths, get away from trigger, seek help",General Physician
Bronchial Asthma,"breathlessness, cough, family_history, high_fever, mucoid_sputum","switch to loose cloothing, take deep breaths, get away from trigger, seek help",General Physician
Bronchial Asthma,"breathlessness, family_history, fatigue, high_fever, mucoid_sputum","switch to loose cloothing, take deep breaths, get away from trigger, seek help",General Physician
Hypertension,"chest_pain, dizziness, headache, lack_of_concentration, loss_of_balance",Consult a doctor,Cardiologist
Hypertension,"chest_pain, dizziness, lack_of_concentration, loss_of_balance",Consult a doctor,Cardiologist
Hypertension,"dizziness, headache, lack_of_concentration, loss_of_balance",Consult a doctor,Cardiologist
Hypertension,"chest_pain, headache, lack_of_concentration, loss_of_balance",Consult a doctor,Cardiologist
Hypertension,"chest_pain, dizziness, headache, lack_of_concentration",Consult a doctor,Cardiologist
Hypertension,"chest_pain, dizziness, headache, loss_of_balance",Consult a doctor,Cardiologist
Hypertension,"chest_pain, dizziness, headache, lack_of_concentration, loss_of_balance",Consult a doctor,Cardiologist
Hypertension,"chest_pain, dizziness, lack_of_concentration, loss_of_balance",Consult a doctor,Cardiologist
Hypertension,"dizziness, headache, lack_of_concentration, loss_of_balance",Consult a doctor,Cardiologist
Hypertension,"chest_pain, headache, lack_of_concentration, loss_of_balance",Consult a doctor,Cardiologist
Migraine,"acidity, blurred_and_distorted_vision, depression, excessive_hunger, headache, indigestion, irritability, stiff_neck, visual_disturbances","meditation, reduce stress, use poloroid glasses in sun, consult doctor",Neurologist
Migraine,"blurred_and_distorted_vision, depression, excessive_hunger, headache, indigestion, irritability, stiff_neck, visual_disturbances","meditation, reduce stress, use poloroid glasses in sun, consult doctor",Neurologist
Migraine,"acidity, blurred_and_distorted_vision, depression, excessive_hunger, headache, irritability, stiff_neck, visual_disturbances","meditation, reduce stress, use poloroid glasses in sun, consult doctor",Neurologist
Migraine,"acidity, blurred_and_distorted_vision, depression, excessive_hunger, indigestion, irritability, stiff_neck, visual_disturbances","meditation, reduce stress, use poloroid glasses in sun, consult doctor",Neurologist
Migraine,"acidity, depression, excessive_hunger, headache, indigestion, irritability, stiff_neck, visual_disturbances","meditation, reduce stress, use poloroid glasses in sun, consult doctor",Neurologist
Migraine,"acidity, blurred_and_distorted_vision, depression, headache, indigestion, irritability, stiff_neck, visual_disturbances","meditation, reduce stress, use poloroid glasses in sun, consult doctor",Neurologist
Migraine,"acidity, blurred_and_distorted_vision, depression, excessive_hunger, headache, indigestion, irritability, visual_disturbances","meditation, reduce stress, use poloroid glasses in sun, consult doctor",Neurologist
Migraine,"acidity, blurred_and_distorted_vision, excessive_hunger, headache, indigestion, irritability, stiff_neck, visual_disturbances","meditation, reduce stress, use poloroid glasses in sun, consult doctor",Neurologist
Migraine,"acidity, blurred_and_distorted_vision, depression, excessive_hunger, headache, indigestion, stiff_neck, visual_disturbances","meditation, reduce stress, use poloroid glasses in sun, consult doctor",Neurologist
Migraine,"acidity, blurred_and_distorted_vision, depression, excessive_hunger, headache, indigestion, irritability, stiff_neck","meditation, reduce stress, use poloroid glasses in sun, consult doctor",Neurologist
Cervical Spondylosis,"back_pain, dizziness, loss_of_balance, neck_pain, weakness_in_limbs","use heating pad or cold pack, exercise, take otc pain reliver, consult doctor",General Physician
Cervical Spondylosis,"back_pain, dizziness, loss_of_balance, neck_pain, weakness_in_limbs","use heating pad or cold pack, exercise, take otc pain reliver, consult doctor",General Physician
Cervical Spondylosis,"dizziness, loss_of_balance, neck_pain, weakness_in_limbs","use heating pad or cold pack, exercise, take otc pain reliver, consult doctor",General Physician
Cervical Spondylosis,"back_pain, dizziness, loss_of_balance, neck_pain","use heating pad or cold pack, exercise, take otc pain reliver, consult doctor",General Physician
Cervical Spondylosis,"back_pain, dizziness, loss_of_balance, weakness_in_limbs","use heating pad or cold pack, exercise, take otc pain reliver, consult doctor",General Physician
Cervical Spondylosis,"back_pain, loss_of_balance, neck_pain, weakness_in_limbs","use heating pad or cold pack, exercise, take otc pain reliver, consult doctor",General Physician
Cervical Spondylosis,"back_pain, dizziness, neck_pain, weakness_in_limbs","use heating pad or cold pack, exercise, take otc pain reliver, consult doctor",General Physician
Cervical Spondylosis,"back_pain, dizziness, loss_of_balance, neck_pain, weakness_in_limbs","use heating pad or cold pack, exercise, take otc pain reliver, consult doctor",General Physician
Cervical Spondylosis,"dizziness, loss_of_balance, neck_pain, weakness_in_limbs","use heating pad or cold pack, exercise, take otc pain reliver, consult doctor",General Physician
Cervical Spondylosis,"back_pain, dizziness, loss_of_balance, neck_pain","use heating pad or cold pack, exercise, take otc pain reliver, consult doctor",General Physician
Paralysis (Brain Hemorrhage),"altered_sensorium, headache, vomiting, weakness_of_one_body_side","massage, eat healthy, exercise, consult doctor",Neurologist
Paralysis (Brain Hemorrhage),"altered_sensorium, headache, vomiting, weakness_of_one_body_side","massage, eat healthy, exercise, consult doctor",Neurologist
Paralysis (Brain Hemorrhage),"altered_sensorium, headache, weakness_of_one_body_side","massage, eat healthy, exercise, consult doctor",Neurologist
Paralysis (Brain Hemorrhage),"altered_sensorium, vomiting, weakness_of_one_body_side","massage, eat healthy, exercise, consult doctor",Neurologist
Paralysis (Brain Hemorrhage),"altered_sensorium, headache, vomiting","massage, eat healthy, exercise, consult doctor",Neurologist
Paralysis (Brain Hemorrhage),"headache, vomiting, weakness_of_one_body_side","massage, eat healthy, exercise, consult doctor",Neurologist
Paralysis (Brain Hemorrhage),"altered_sensorium, headache, vomiting, weakness_of_one_body_side","massage, eat healthy, exercise, consult doctor",Neurologist
Paralysis (Brain Hemorrhage),"altered_sensorium, headache, weakness_of_one_body_side","massage, eat healthy, exercise, consult doctor",Neurologist
Paralysis (Brain Hemorrhage),"altered_sensorium, vomiting, weakness_of_one_body_side","massage, eat healthy, exercise, consult doctor",Neurologist
Paralysis (Brain Hemorrhage),"altered_sensorium, headache, vomiting","massage, eat healthy, exercise, consult doctor",Neurologist
Jaundice,"abdominal_pain, dark_urine, fatigue, high_fever, itching, vomiting, weight_loss, yellowish_skin","drink plenty of water, consume milk thistle, eat fruits and high fiberous food, medication",Gastroenterologist
Jaundice,"abdominal_pain, dark_urine, fatigue, high_fever, itching, vomiting, weight_loss, yellowish_skin","drink plenty of water, consume milk thistle, eat fruits and high fiberous food, medication",Gastroenterologist
Jaundice,"abdominal_pain, dark_urine, fatigue, high_fever, vomiting, weight_loss, yellowish_skin","drink plenty of water, consume milk thistle, eat fruits and high fiberous food, medication",Gastroenterologist
Jaundice,"abdominal_pain, dark_urine, fatigue, high_fever, itching, weight_loss, yellowish_skin","drink plenty of water, consume milk thistle, eat fruits and high fiberous food, medication",Gastroenterologist
Jaundice,"abdominal_pain, dark_urine, high_fever, itching, vomiting, weight_loss, yellowish_skin","drink plenty of water, consume milk thistle, eat fruits and high fiberous food, medication",Gastroenterologist
Jaundice,"abdominal_pain, dark_urine, fatigue, high_fever, itching, vomiting, yellowish_skin","drink plenty of water, consume milk thistle, eat fruits and high fiberous food, medication",Gastroenterologist
Jaundice,"abdominal_pain, dark_urine, fatigue, itching, vomiting, weight_loss, yellowish_skin","drink plenty of water, consume milk thistle, eat fruits and high fiberous food, medication",Gastroenterologist
Jaundice,"abdominal_pain, dark_urine, fatigue, high_fever, itching, vomiting, weight_loss","drink plenty of water, consume milk thistle, eat fruits and high fiberous food, medication",Gastroenterologist
Jaundice,"abdominal_pain, fatigue, high_fever, itching, vomiting, weight_loss, yellowish_skin","drink plenty of water, consume milk thistle, eat fruits and high fiberous food, medication",Gastroenterologist
Jaundice,"dark_urine, fatigue, high_fever, itching, vomiting, weight_loss, yellowish_skin","drink plenty of water, consume milk thistle, eat fruits and high fiberous food, medication",Gastroenterologist
Malaria,"chills, headache, high_fever, muscle_pain, nausea, sweating, vomiting","Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",General Physician
Malaria,"chills, diarrhoea, headache, high_fever, muscle_pain, nausea, sweating, vomiting","Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",General Physician
Malaria,"chills, diarrhoea, headache, high_fever, muscle_pain, nausea, sweating, vomiting","Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",General Physician
Malaria,"diarrhoea, headache, high_fever, muscle_pain, nausea, sweating, vomiting","Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",General Physician
Malaria,"chills, diarrhoea, headache, high_fever, muscle_pain, nausea, sweating","Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",General Physician
Malaria,"chills, diarrhoea, headache, muscle_pain, nausea, sweating, vomiting","Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",General Physician
Malaria,"chills, diarrhoea, headache, high_fever, muscle_pain, nausea, vomiting","Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",General Physician
Malaria,"chills, diarrhoea, high_fever, muscle_pain, nausea, sweating, vomiting","Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",General Physician
Malaria,"chills, diarrhoea, headache, high_fever, muscle_pain, sweating, vomiting","Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",General Physician
Malaria,"chills, headache, high_fever, muscle_pain, nausea, sweating, vomiting","Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",General Physician
Chicken Pox,"fatigue, headache, high_fever, itching, lethargy, loss_of_appetite, malaise, mild_fever, red_spots_over_body, skin_rash, swelled_lymph_nodes","use neem in bathing , consume neem leaves, take vaccine, avoid public places",General Physician
Chicken Pox,"fatigue, headache, high_fever, lethargy, loss_of_appetite, malaise, mild_fever, red_spots_over_body, skin_rash, swelled_lymph_nodes","use neem in bathing , consume neem leaves, take vaccine, avoid public places",General Physician
Chicken Pox,"fatigue, headache, high_fever, itching, lethargy, loss_of_appetite, malaise, mild_fever, red_spots_over_body, swelled_lymph_nodes","use neem in bathing , consume neem leaves, take vaccine, avoid public places",General Physician
Chicken Pox,"headache, high_fever, itching, lethargy, loss_of_appetite, malaise, mild_fever, red_spots_over_body, skin_rash, swelled_lymph_nodes","use neem in bathing , consume neem leaves, take vaccine, avoid public places",General Physician
Chicken Pox,"fatigue, headache, high_fever, itching, loss_of_appetite, malaise, mild_fever, red_spots_over_body, skin_rash, swelled_lymph_nodes","use neem in bathing , consume neem leaves, take vaccine, avoid public places",General Physician
Chicken Pox,"fatigue, headache, itching, lethargy, loss_of_appetite, malaise, mild_fever, red_spots_over_body, skin_rash, swelled_lymph_nodes","use neem in bathing , consume neem leaves, take vaccine, avoid public places",General Physician
Chicken Pox,"fatigue, high_fever, itching, lethargy, loss_of_appetite, malaise, mild_fever, red_spots_over_body, skin_rash, swelled_lymph_nodes","use neem in bathing , consume neem leaves, take vaccine, avoid public places",General Physician
Chicken Pox,"fatigue, headache, high_fever, itching, lethargy, malaise, mild_fever, red_spots_over_body, skin_rash, swelled_lymph_nodes","use neem in bathing , consume neem leaves, take vaccine, avoid public places",General Physician
Chicken Pox,"fatigue, headache, high_fever, itching, lethargy, loss_of_appetite, malaise, red_spots_over_body, skin_rash, swelled_lymph_nodes","use neem in bathing , consume neem leaves, take vaccine, avoid public places",General Physician
Chicken Pox,"fatigue, headache, high_fever, itching, lethargy, loss_of_appetite, malaise, mild_fever, red_spots_over_body, skin_rash","use neem in bathing , consume neem leaves, take vaccine, avoid public places",General Physician
Dengue,"back_pain, chills, fatigue, headache, high_fever, joint_pain, loss_of_appetite, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting","drink papaya leaf juice, avoid fatty spicy food, keep mosquitos away, keep hydrated",General Physician
Dengue,"back_pain, chills, fatigue, headache, high_fever, joint_pain, loss_of_appetite, malaise, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting","drink papaya leaf juice, avoid fatty spicy food, keep mosquitos away, keep hydrated",General Physician
Dengue,"back_pain, chills, fatigue, headache, high_fever, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, skin_rash, vomiting","drink papaya leaf juice, avoid fatty spicy food, keep mosquitos away, keep hydrated",General Physician
Dengue,"back_pain, chills, fatigue, headache, high_fever, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting","drink papaya leaf juice, avoid fatty spicy food, keep mosquitos away, keep hydrated",General Physician
Dengue,"back_pain, chills, fatigue, headache, high_fever, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, vomiting","drink papaya leaf juice, avoid fatty spicy food, keep mosquitos away, keep hydrated",General Physician
Dengue,"back_pain, fatigue, headache, high_fever, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting","drink papaya leaf juice, avoid fatty spicy food, keep mosquitos away, keep hydrated",General Physician
Dengue,"back_pain, chills, fatigue, headache, high_fever, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting","drink papaya leaf juice, avoid fatty spicy food, keep mosquitos away, keep hydrated",General Physician
Dengue,"back_pain, chills, fatigue, headache, high_fever, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash","drink papaya leaf juice, avoid fatty spicy food, keep mosquitos away, keep hydrated",General Physician
